 Mach Number             Cd Rocket - (Unpowered) Body Skin Friction      Nose Pressure Drag      Base Drag               Body Pressure Drag      Interference Drag       Fin Skin Friction      
 0.00000000000000E+0000  2.05377605455083E-0001  1.09003079925935E-0001  9.83672449840153E-0004  8.78372218593239E-0002  7.55363121998402E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.00000000000000E-0002  2.53530495433660E-0001  1.70341830846897E-0001  1.11969652243198E-0003  7.02647202171267E-0002  1.18042478472042E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 4.00000000000000E-0002  2.47706600728378E-0001  1.63361312577500E-0001  1.27453025908167E-0003  7.17502418874642E-0002  1.13205160043314E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 6.00000000000000E-0002  2.43638245881572E-0001  1.58335086684290E-0001  1.45077469543850E-0003  7.28801729385560E-0002  1.09722115632877E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 8.00000000000000E-0002  2.40638434486103E-0001  1.54501720754982E-0001  1.65139054324311E-0003  7.37787539585578E-0002  1.07065692293196E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 1.00000000000000E-0001  2.38315265710610E-0001  1.51416056589610E-0001  1.87974792701254E-0003  7.45267205022623E-0002  1.04927406917243E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 1.20000000000000E-0001  2.36458931600484E-0001  1.48835262425086E-0001  2.13968299840734E-0003  7.51700878389573E-0002  1.03138983380335E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 1.40000000000000E-0001  2.34948083106197E-0001  1.46615447569000E-0001  2.43556237933964E-0003  7.57370022420473E-0002  1.01600709158093E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 1.60000000000000E-0001  2.33708133220331E-0001  1.44665014166720E-0001  2.77235651639519E-0003  7.62458516063345E-0002  1.00249109308806E-0002  0.00000000000000E+0000  0.00000000000000E+0000 
 1.80000000000000E-0001  2.32691457565744E-0001  1.42922295461394E-0001  3.15572317884248E-0003  7.67092938888487E-0002  9.90414503665872E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.00000000000000E-0001  2.31867191349024E-0001  1.41343911551885E-0001  3.59210250290340E-0003  7.71364101759266E-0002  9.79476711830916E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.20000000000000E-0001  2.31215604066140E-0001  1.39898257133777E-0001  4.08882517892389E-0003  7.75339347433738E-0002  9.69458701006502E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.40000000000000E-0001  2.30724835274419E-0001  1.38561638677171E-0001  4.65423559886971E-0003  7.79069981867293E-0002  9.60196281164888E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.60000000000000E-0001  2.30388933183765E-0001  1.37315869205482E-0001  5.29783203288899E-0003  7.82595977327225E-0002  9.51563421267128E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 2.80000000000000E-0001  2.30206656130382E-0001  1.36146708813630E-0001  6.03042618975302E-0003  7.85949067024207E-0002  9.43461442457844E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 3.00000000000000E-0001  2.30180745875144E-0001  1.35042818399932E-0001  6.86432484161416E-0003  7.89154849566164E-0002  9.35811767698180E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 3.20000000000000E-0001  2.30317508723280E-0001  1.33995036928156E-0001  7.81353656417624E-0003  7.92234260971588E-0002  9.28550913378925E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 3.40000000000000E-0001  2.30626608883835E-0001  1.32995869435029E-0001  8.89400706528374E-0003  7.95204629700711E-0002  9.21626941345102E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 3.60000000000000E-0001  2.31121017132986E-0001  1.32039116274515E-0001  1.01238870551899E-0002  7.98080449067329E-0002  9.14996889654831E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 3.80000000000000E-0001  2.31817080658396E-0001  1.31119599401186E-0001  1.15238371584285E-0002  8.00873953408418E-0002  9.08624875793938E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 4.00000000000000E-0001  2.32734694022498E-0001  1.30232956806640E-0001  1.31173749894709E-0002  8.03595555046513E-0002  9.02480672173563E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 4.20000000000000E-0001  2.33897560247557E-0001  1.29375485765342E-0001  1.49312702226576E-0002  8.06254180609136E-0002  8.96538619864411E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 4.40000000000000E-0001  2.35333537167778E-0001  1.28544021652449E-0001  1.69959942931397E-0002  8.08857533338325E-0002  8.90776788835682E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 4.60000000000000E-0001  2.37075068600810E-0001  1.27735843096976E-0001  1.93462322833122E-0002  8.11412300136121E-0002  8.85176320691029E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 4.80000000000000E-0001  2.39159703266409E-0001  1.26948596911208E-0001  2.20214655938632E-0002  8.13924316768494E-0002  8.79720908448851E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 5.00000000000000E-0001  2.41630707156340E-0001  1.26180238064033E-0001  2.50666351876695E-0002  8.16398700989072E-0002  8.74396380573023E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
 5.20000000000000E-0001  2.44537777513104E-0001  1.25428981234046E-0001  2.85328965483028E-0002  8.18839960782709E-0002  8.69190365248436E-0003  0.00000000000000E+0000  0.00000000000000E+0000 
